show_id,type,title,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,Primary Country
**,Movie,Shrek Forever After,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn",United States of America,16-05-2010,2010,6.38,"Comedy, Adventure, Fantasy, Animation, Family",en,203.893,7449,6.38,United States of America
27205,Movie,Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page","United Kingdom, United States of America",15-07-2010,2010,8.369,"Action, Science Fiction, Adventure",en,156.242,37119,8.369,United Kingdom
12444,Movie,Harry Potter and the Deathly Hallows: Part 1,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter","United Kingdom, United States of America",17-11-2010,2010,7.744,"Adventure, Fantasy",en,121.191,19327,7.744,United Kingdom
38757,Movie,Tangled,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",United States of America,24-11-2010,2010,7.6,"Animation, Family, Adventure",en,111.762,11638,7.6,United States of America
10191,Movie,How to Train Your Dragon,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",United States of America,18-03-2010,2010,7.8,"Fantasy, Adventure, Animation, Family",en,110.044,13259,7.8,United States of America
11324,Movie,Shutter Island,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",United States of America,14-02-2010,2010,8.2,"Drama, Thriller, Mystery",en,101.551,24282,8.2,United States of America
38575,Movie,The Karate Kid,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei","China, Hong Kong, United States of America",10-06-2010,2010,6.5,"Action, Adventure, Drama, Family",en,96.385,6082,6.5,China
10138,Movie,Iron Man 2,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",United States of America,28-04-2010,2010,6.8,"Adventure, Action, Science Fiction",en,95.255,21222,6.8,United States of America
33384,TV Show,Zone,"Michael Underwood, Angellica Bell",United States of America,20-05-2010,2010,0,,en,489.739,0,0,United States of America
38365,Movie,Grown Ups,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",United States of America,24-06-2010,2010,6.394,Comedy,en,93.281,6212,6.394,United States of America
64488,TV Show,Atomes crochus,Alexandre Barrette,Canada,01-03-2010,2010,0,,fr,463.962,0,0,Canada
48650,Movie,Room in Rome,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles","France, Spain",07-05-2010,2010,6.416,"Drama, Romance",es,90.23,748,6.416,France
20352,Movie,Despicable Me,"Steve Carell, Jason Segel, Miranda Cosgrove, Elsie Fisher, Dana Gaier",United States of America,08-07-2010,2010,7.2,"Animation, Family, Comedy",en,86.361,15258,7.2,United States of America
10193,Movie,Toy Story 3,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn",United States of America,16-06-2010,2010,7.8,"Animation, Family, Comedy",en,83.097,14847,7.8,United States of America
24021,Movie,The Twilight Saga: Eclipse,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Dakota Fanning",United States of America,23-06-2010,2010,6.204,"Adventure, Fantasy, Drama, Romance",en,81.8,8829,6.204,United States of America
12155,Movie,Alice in Wonderland,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover",United States of America,03-03-2010,2010,6.6,"Family, Fantasy, Adventure",en,80.326,14114,6.6,United States of America
73861,Movie,A Serbian Film,"Srđan 'Žika' Todorović, Sergej Trifunović, Jelena Gavrilović, Slobodan Beštić, Katarina Žutić",Serbia,16-06-2010,2010,5.471,"Crime, Horror, Thriller",sr,74.238,2018,5.471,Serbia
38234,Movie,Undisputed III: Redemption,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir, Hristo Shopov, Marko Zaror",United States of America,17-04-2010,2010,7.517,"Action, Thriller, Crime, Drama",en,71.837,925,7.517,United States of America
37799,Movie,The Social Network,"Jesse Eisenberg, Andrew Garfield, Armie Hammer, Josh Pence, Justin Timberlake",United States of America,01-10-2010,2010,7.368,Drama,en,69.048,12285,7.368,United States of America
61979,Movie,Three Steps Above Heaven,"María Valverde, Mario Casas, Álvaro Cervantes, Marina Salas, Nerea Camacho",Spain,03-12-2010,2010,7.7,"Romance, Drama",es,66.968,3095,7.7,Spain
32657,Movie,Percy Jackson & the Olympians: The Lightning Thief,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Pierce Brosnan",United States of America,01-02-2010,2010,6.21,"Adventure, Fantasy, Family",en,64.865,7519,6.21,United States of America
23168,Movie,The Town,"Ben Affleck, Jeremy Renner, Rebecca Hall, Jon Hamm, Blake Lively","United Kingdom, United States of America",15-09-2010,2010,7.2,"Crime, Drama, Thriller",en,58.865,5117,7.2,United Kingdom
34851,Movie,Predators,"Adrien Brody, Topher Grace, Alice Braga, Oleg Taktarov, Laurence Fishburne",United States of America,03-07-2010,2010,6.3,"Science Fiction, Action, Thriller",en,58.518,4194,6.3,United States of America
38055,Movie,Megamind,"Will Ferrell, Tina Fey, Jonah Hill, Brad Pitt, David Cross",United States of America,28-10-2010,2010,6.999,"Animation, Action, Comedy, Family, Science Fiction",en,58.422,6944,6.999,United States of America
10140,Movie,The Chronicles of Narnia: The Voyage of the Dawn Treader,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Anna Popplewell","United Kingdom, United States of America",02-12-2010,2010,6.4,"Adventure, Family, Fantasy",en,53.64,5621,6.4,United Kingdom
27578,Movie,The Expendables,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Eric Roberts","Bulgaria, United States of America",03-08-2010,2010,6.248,"Thriller, Adventure, Action",en,53.249,7827,6.248,Bulgaria
18823,Movie,Clash of the Titans,"Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Jason Flemyng",United States of America,26-03-2010,2010,5.9,"Adventure, Fantasy, Action",en,51.888,6308,5.9,United States of America
44214,Movie,Black Swan,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder",United States of America,03-12-2010,2010,7.7,"Drama, Thriller, Horror",en,45.984,14650,7.7,United States of America
23483,Movie,Kick-Ass,"Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Lyndsy Fonseca, Mark Strong","United Kingdom, United States of America",26-03-2010,2010,7.122,"Action, Crime",en,45.668,11730,7.122,United Kingdom
20526,Movie,TRON: Legacy,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain",United States of America,14-12-2010,2010,6.5,"Adventure, Action, Science Fiction",en,44.783,7236,6.5,United States of America
52629,Movie,El Infierno,"Damián Alcázar, Joaquín Cosío, Ernesto Gómez Cruz, María Rojo, Elizabeth Cervantes",Mexico,03-09-2010,2010,7.9,"Action, Crime, Western, Comedy, Drama",es,43.812,691,7.9,Mexico
26389,Movie,From Paris with Love,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin","United Kingdom, France",04-02-2010,2010,6.27,"Action, Crime, Thriller",en,43.037,2043,6.27,United Kingdom
10196,Movie,The Last Airbender,"Noah Ringer, Dev Patel, Nicola Peltz Beckham, Jackson Rathbone, Shaun Toub",United States of America,30-06-2010,2010,4.6,"Action, Adventure, Fantasy",en,42.597,4004,4.6,United States of America
27581,Movie,The Other Guys,"Will Ferrell, Mark Wahlberg, Eva Mendes, Michael Keaton, Steve Coogan",United States of America,06-08-2010,2010,6.3,"Action, Comedy, Crime, Thriller",en,40.669,4234,6.3,United States of America
94226,TV Show,Geet Hui Sabse Parayi,"Ranjeev Verma, Sameer Sharma, Drashti Dhami, Gurmeet Choudhary, Abhinav Shukla",India,05-04-2010,2010,10,,hi,348.468,1,10,India
47931,Movie,Elite Squad: The Enemy Within,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held, Maria Ribeiro",Brazil,08-10-2010,2010,7.811,"Drama, Action, Crime",pt,40.66,1879,7.811,Brazil
9543,Movie,Prince of Persia: The Sands of Time,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Steve Toussaint",United States of America,19-05-2010,2010,6.3,"Adventure, Fantasy, Action",en,39.509,6807,6.3,United States of America
22538,Movie,Scott Pilgrim vs. the World,"Michael Cera, Mary Elizabeth Winstead, Ellen Wong, Kieran Culkin, Alison Pill","Japan, United Kingdom, United States of America",12-08-2010,2010,7.491,"Action, Comedy, Romance",en,39.321,7985,7.491,Japan
22894,Movie,Legion,"Paul Bettany, Dennis Quaid, Lucas Black, Kate Walsh, Tyrese Gibson",United States of America,21-01-2010,2010,5.9,"Horror, Action, Fantasy",en,38.772,2656,5.9,United States of America
51608,Movie,The Man from Nowhere,"Won Bin, Kim Sae-ron, Kim Tae-hun, Kim Hee-won, Kim Seung-o",South Korea,04-08-2010,2010,7.7,"Action, Thriller, Crime",ko,38.694,1348,7.7,South Korea
43947,Movie,I Spit on Your Grave,"Sarah Butler, Jeff Branson, Tracey Walter, Andrew Howard, Chad Lindberg",United States of America,17-06-2010,2010,6.5,"Thriller, Crime, Horror",en,38.125,2344,6.5,United States of America
44115,Movie,127 Hours,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan","France, United Kingdom, United States of America",12-11-2010,2010,7.1,"Adventure, Drama, Thriller",en,37.971,7606,7.1,France
39514,Movie,RED,"Bruce Willis, John Malkovich, Morgan Freeman, Helen Mirren, Mary-Louise Parker",United States of America,13-10-2010,2010,6.7,"Action, Adventure, Comedy, Crime, Thriller",en,36.185,6751,6.7,United States of America
573531,Movie,Halo Legends,"Luci Christian, David Wald, Emily Neves, Shelley Calene-Black, Jessie James Grelle","Germany, Japan, United States of America",16-02-2010,2010,7.3,"Animation, War, Action, Science Fiction",en,36.147,161,7.3,Germany
35552,Movie,The Extraordinary Adventures of Adèle Blanc-Sec,"Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve, Jacky Nercessian",France,09-04-2010,2010,6.2,"Fantasy, Adventure, Action, Mystery",fr,35.816,1368,6.2,France
27576,Movie,Salt,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl",United States of America,21-07-2010,2010,6.4,"Action, Mystery, Thriller",en,35.711,5537,6.4,United States of America
46738,Movie,Incendies,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman","Canada, France",17-09-2010,2010,8.1,"Drama, War, Mystery",fr,35.555,2830,8.1,Canada
44918,Movie,Titanic II,"Shane van Dyke, Marie Westbrook, Bruce Davison, Brooke Burns, Michelle Glavan",United States of America,07-08-2010,2010,5,"Action, Thriller, Romance, Adventure",en,35.09,424,5,United States of America
46571,TV Show,Daring Women,"Kim Ha-kyoon, Lee Yu-ri",South Korea,02-03-2010,2010,3,,ko,184.227,1,3,South Korea
43949,Movie,Flipped,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney",United States of America,06-08-2010,2010,8.016,"Romance, Drama",en,34.886,3062,8.016,United States of America
43347,Movie,Love & Other Drugs,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad",United States of America,04-11-2010,2010,7,"Drama, Comedy, Romance",en,34.685,5196,7,United States of America
35019,Movie,Nanny McPhee and the Big Bang,"Emma Thompson, Asa Butterfield, Ralph Fiennes, Maggie Gyllenhaal, Maggie Smith","United States of America, United Kingdom, France",26-03-2010,2010,6.3,"Comedy, Fantasy, Family",en,34.409,1847,6.3,United States of America
43593,Movie,Piranha 3D,"Elisabeth Shue, Jerry O'Connell, Steven R. McQueen, Jessica Szohr, Kelly Brook",United States of America,20-08-2010,2010,5.4,"Comedy, Horror",en,34.009,2238,5.4,United States of America
44683,Movie,Tinker Bell and the Great Fairy Rescue,"Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu","India, United States of America",29-07-2010,2010,6.7,"Animation, Adventure, Family, Fantasy",en,33.522,945,6.7,India
20504,Movie,The Book of Eli,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals",United States of America,14-01-2010,2010,6.8,"Action, Thriller, Science Fiction",en,33.361,6182,6.8,United States of America
32864,TV Show,Dinner Date,Natalie Casey,United Kingdom,09-08-2010,2010,5.5,,en,170.698,2,5.5,United Kingdom
7978,Movie,The Wolfman,"Benicio del Toro, Anthony Hopkins, Emily Blunt, Hugo Weaving, Geraldine Chaplin",United States of America,10-02-2010,2010,5.9,"Horror, Thriller",en,33.064,2014,5.9,United States of America
48466,Movie,Scared Shrekless,"Mike Myers, Cameron Diaz, Antonio Banderas, Dean Edwards, Conrad Vernon",United States of America,28-10-2010,2010,6.7,"Animation, Comedy, Family",en,32.983,469,6.7,United States of America
34544,Movie,The A-Team,"Liam Neeson, Bradley Cooper, Jessica Biel, Quinton 'Rampage' Jackson, Sharlto Copley","United Kingdom, United States of America",09-06-2010,2010,6.397,"Action, Comedy, Crime",en,32.716,4671,6.397,United Kingdom
51497,TV Show,Under the Clouds,"Vladas Radvilavičius, Elisabet Reinsalu, Liis Haab, Rita Rätsepp, Ain Lutsepp",,08-09-2010,2010,10,,et,168.635,2,10,
38167,Movie,Eat Pray Love,"Julia Roberts, Javier Bardem, James Franco, Billy Crudup, Richard Jenkins",United States of America,12-08-2010,2010,6.241,"Drama, Romance",en,32.264,2453,6.241,United States of America
72641,Movie,Azureus Rising,,,06-04-2010,2010,6.2,"Science Fiction, Animation",en,31.997,12,6.2,
26022,Movie,My Name Is Khan,"Shah Rukh Khan, Kajol, Arjan Aujla, Jimmy Shergill, Sonya Jehan","China, India, United Arab Emirates, United States of America",10-02-2010,2010,8,"Drama, Romance",hi,31.503,1333,8,China
